NCU-259,NCU-260,NCU-267,NCU-268,NCU-280,NCU-281,NCU-286,NCU-287,NCU-552,NCU-559,NCU-564,NCU-1353,NCU-1355,NCU-1357,NCU-1359
856,794,1010,735,0,715,669,711,1186,607,1182,524,704,627,720
728,703,1026,696,0,692,671,693,1290,595,1203,581,709,574,630
0,665,1027,746,0,694,681,697,1314,448,417,688,702,529,643
0,935,1025,347,0,876,664,579,1253,393,438,455,683,536,251
0,946,992,910,0,968,668,1035,1204,833,601,575,649,679,157
0,785,892,1017,1127,815,590,1034,876,797,821,763,629,1083,565
0,613,911,983,205,324,564,1202,1127,803,1141,941,614,985,897
107,751,911,926,1075,592,660,1256,1159,793,1311,911,598,1074,856
1065,645,1093,1143,1079,623,652,1382,1409,836,1186,952,600,1188,902
1194,643,1104,986,1044,595,648,1369,1422,775,1274,796,592,1136,911
1123,956,1089,989,1030,588,648,1362,1115,965,1335,632,450,855,839
1019,960,1104,1100,1059,576,654,1337,1176,956,1346,655,606,852,1079
924,865,987,1052,929,650,635,1224,926,819,1210,716,529,1084,948
1023,957,1093,1165,1028,720,703,1355,1026,907,1339,793,585,1200,1050
1174,1176,1242,1498,1015,823,701,1367,1212,933,1340,1256,700,1195,1017
1181,1176,1232,1465,1002,784,821,1409,880,1005,1322,1256,860,1192,1044
1180,1142,1234,1368,1069,768,1010,1466,997,1039,1293,1231,836,1191,1064
1193,1177,1415,1686,1088,635,990,1457,894,1069,1320,1258,811,1194,1105
1258,1226,1465,2018,1040,953,981,1429,896,1039,1312,1306,830,1189,1425
1238,1178,1450,1176,1007,1002,984,1433,893,973,1288,1311,885,1206,1356
1592,1139,1400,1312,1119,1016,980,1429,813,1188,1287,1292,890,1261,1338
1519,1023,1282,2057,1326,1087,1256,1874,1415,1294,1298,1490,1165,999,1389
1747,973,1369,2164,1336,1063,1305,1747,1377,1247,1281,1353,1055,937,1328
1629,937,1301,1684,888,1011,1297,1730,1406,1474,1684,1262,1032,3024,1470
1718,1144,1242,1944,1215,1068,1126,1731,1556,1619,1814,1270,981,1261,1467
1597,1155,1328,2191,1204,1153,1134,1749,1666,1685,1877,1179,921,1009,1402
1408,1111,1330,1938,1203,1202,1122,1760,1787,1678,1878,1146,929,1231,1392
251,191,167,374,212,200,189,0,300,219,249,198,151,189,237
1448,1092,1281,1633,1208,1205,1143,904,1407,1634,1771,1342,841,1069,1368
1772,1060,1323,1839,1251,1205,1128,1744,1694,1669,1748,1016,830,1019,1241
2161,1069,1279,2250,1236,1155,1119,1742,1671,1688,1848,1592,1164,991,1264
2473,1049,1116,2243,1217,1194,1113,1739,1613,1643,1739,1745,1535,998,1272
1742,1029,1418,1707,874,840,1106,1894,725,1711,1821,1370,1016,754,1247
1502,1208,1379,1708,1223,1199,1124,1887,1551,1656,1795,1304,1016,984,1173
1863,1157,1307,2291,1269,1204,1126,1762,1838,1523,1843,1396,1015,936,1166
1876,1096,1212,2353,1280,1216,1130,1886,1861,1754,1883,1409,1019,1091,1203
1875,1164,1349,2350,1294,1230,1159,1935,1877,1822,1850,1406,989,1214,1299
1767,1176,1430,2311,1313,1246,1172,1828,2048,1717,1724,1349,1063,1275,1274
1871,1176,1507,1712,1311,1252,1164,1808,1674,1718,1781,1376,1057,1366,1367
1871,1191,1529,2282,1320,1269,1171,1811,1578,1370,1710,1413,1081,1417,1347
1830,951,1415,2273,1228,1264,1105,1708,1786,1207,1607,1352,1029,1422,1361
1856,1195,1505,2143,1237,1244,1121,1676,1817,1383,1544,1442,1139,1399,1335
1856,1194,1503,2125,1293,1260,1088,1704,1826,1359,1573,490,620,1428,1332
1835,1185,1494,2171,1301,1255,1034,1652,1858,1403,1546,1089,340,1365,1305
1264,1154,1471,2283,1280,1208,1069,1656,1876,1360,1478,1060,220,673,693
871,1195,1486,1811,1289,1266,1132,1745,1885,1410,1488,1105,207,655,509
866,1202,1525,645,1100,1228,1132,1879,1786,1416,1506,1098,243,653,504
799,1075,1539,799,1333,1249,1118,1126,1774,1425,1505,1106,231,667,510
780,1085,1432,810,1331,1249,1182,1677,1741,1425,1815,1104,210,685,504
781,1000,1477,799,1336,1246,1161,1663,1724,1422,1597,1107,207,666,616
778,995,1444,806,1334,1246,1180,1319,1708,1373,1603,1102,173,640,153
777,997,1337,815,1331,1233,1169,1390,1692,1416,1592,1106,198,618,287
708,994,1363,806,1327,1223,1178,1414,1684,1409,1565,1099,240,594,355
717,984,1281,826,1325,1225,1158,1411,1716,1398,1552,1096,281,556,342
771,987,1181,866,1319,1221,1134,1410,1733,1410,1576,1097,370,555,351
754,971,664,920,1284,1200,1181,1411,1563,1405,1573,1088,398,631,371
751,991,0,921,1322,1197,1178,1407,1555,1405,1554,1100,422,593,365
22,30,0,28,40,36,36,42,52,42,47,33,14,18,11
1056,1445,979,1377,1934,1749,1719,2014,2531,2056,2266,1605,624,853,535
1039,1476,1450,1436,1985,1791,1768,2126,2530,2112,2373,1640,613,831,525
1047,1454,1298,1371,1952,1773,1690,2076,2473,2077,2334,1606,559,781,517
1045,1478,1410,1503,1863,1803,1692,2092,2464,2115,2355,1633,656,802,517
1030,1515,1557,1654,2028,1837,1756,1055,2467,2168,2397,1682,789,934,548
1015,1477,1485,1516,1994,1819,1755,0,2392,2136,2415,1642,787,981,600
1031,1474,1500,1468,1909,1794,1735,884,2368,2108,2380,1643,705,1061,593
1053,1085,1403,1371,1745,1667,1578,1743,2250,1938,2118,1508,585,989,526
1200,1460,1498,1423,1800,1790,1557,2003,2551,2084,2297,1603,562,1032,713
1238,1450,1509,1329,1846,1779,1462,2027,2521,2013,2237,1617,624,1024,665
1415,1374,1521,1429,2028,1841,1824,2153,2691,2034,2308,1686,660,1021,655
1255,1480,1636,1366,1979,1765,1762,2077,2609,2056,2274,1638,742,1098,694
1348,1484,1611,1346,1990,1737,1763,2035,2568,2062,2105,1645,734,1102,663
1194,1355,1418,1217,1798,1611,1627,1969,2336,1841,1940,1498,617,923,566
1139,1377,1432,1203,1832,1346,1642,1643,2460,1939,1982,1514,581,868,621
1051,1354,1308,1236,1796,1286,1465,1967,2336,1874,1899,1423,621,1031,606
1065,1402,1311,1376,1782,1718,1675,2014,2213,1938,1957,1516,640,901,671
946,1284,1223,1258,1541,1513,804,681,2066,1660,1770,1357,628,678,266
935,1306,1065,468,972,715,970,1933,1934,1746,94,1348,711,32,624
766,1016,92,0,435,1668,1190,1968,7,2032,1192,1633,175,1707,815
438,1175,0,0,12,711,0,0,0,1532,2094,1713,0,0,0
21,506,388,420,587,548,450,608,630,283,517,463,233,96,261
145,1253,1258,1355,1926,1915,652,2124,2567,317,2060,1580,816,131,911
180,1416,1298,1523,1563,1766,599,2011,2561,318,1905,1462,803,181,69
225,1269,1614,1303,1559,1620,1386,1812,2167,291,1795,1158,669,210,0
274,1365,1744,1253,1655,1705,935,1918,2338,0,1955,1414,757,281,0
