469,178,15,7,72,71,54
472,180,15,7,73,71,54
567,216,18,9,86,85,64
588,224,19,9,88,87,66
574,219,18,9,85,84,64
475,180,15,7,70,69,52
376,142,12,6,54,54,41
377,143,12,6,54,54,41
382,145,12,6,55,54,41
340,129,10,5,48,48,36
287,109,9,4,40,40,30
253,96,7,4,35,35,26
255,97,8,4,35,35,26
204,78,6,3,28,28,21
210,80,6,3,28,28,21
167,63,5,2,22,22,17
1,81,6,3,28,28,21
1,82,6,3,28,28,21
1,81,6,3,28,28,21
1,85,6,3,29,29,22
1,77,6,3,26,26,20
1,81,6,3,27,28,21
1,91,7,3,31,31,23
1,95,7,3,32,32,24
