NCU-259,NCU-260,NCU-267,NCU-268,NCU-280,NCU-281,NCU-286,NCU-287,NCU-552,NCU-559,NCU-564,NCU-1353,NCU-1355,NCU-1357,NCU-1359
1047,1454,1298,1371,1952,1773,1690,2076,2473,2077,2334,1606,559,781,517
1045,1478,1410,1503,1863,1803,1692,2092,2464,2115,2355,1633,656,802,517
1030,1515,1557,1654,2028,1837,1756,1055,2467,2168,2397,1682,789,934,548
1015,1477,1485,1516,1994,1819,1755,0,2392,2136,2415,1642,787,981,600
1031,1474,1500,1468,1909,1794,1735,884,2368,2108,2380,1643,705,1061,593
1053,1085,1403,1371,1745,1667,1578,1743,2250,1938,2118,1508,585,989,526
1200,1460,1498,1423,1800,1790,1557,2003,2551,2084,2297,1603,562,1032,713
1238,1450,1509,1329,1846,1779,1462,2027,2521,2013,2237,1617,624,1024,665
1415,1374,1521,1429,2028,1841,1824,2153,2691,2034,2308,1686,660,1021,655
1255,1480,1636,1366,1979,1765,1762,2077,2609,2056,2274,1638,742,1098,694
1348,1484,1611,1346,1990,1737,1763,2035,2568,2062,2105,1645,734,1102,663
1194,1355,1418,1217,1798,1611,1627,1969,2336,1841,1940,1498,617,923,566
1139,1377,1432,1203,1832,1346,1642,1643,2460,1939,1982,1514,581,868,621
1051,1354,1308,1236,1796,1286,1465,1967,2336,1874,1899,1423,621,1031,606
1065,1402,1311,1376,1782,1718,1675,2014,2213,1938,1957,1516,640,901,671
946,1284,1223,1258,1541,1513,804,681,2066,1660,1770,1357,628,678,266
935,1306,1065,468,972,715,970,1933,1934,1746,94,1348,711,32,624
766,1016,92,0,435,1668,1190,1968,7,2032,1192,1633,175,1707,815
438,1175,0,0,12,711,0,0,0,1532,2094,1713,0,0,0
21,506,388,420,587,548,450,608,630,283,517,463,233,96,261
145,1253,1258,1355,1926,1915,652,2124,2567,317,2060,1580,816,131,911
180,1416,1298,1523,1563,1766,599,2011,2561,318,1905,1462,803,181,69
225,1269,1614,1303,1559,1620,1386,1812,2167,291,1795,1158,669,210,0
274,1365,1744,1253,1655,1705,935,1918,2338,0,1955,1414,757,281,0
399,1482,1708,1129,1536,1367,2643,1628,1837,0,1887,1319,504,321,400
342,1426,1866,1307,1809,1629,2779,2003,2396,0,1875,1525,858,307,924
294,1320,1707,1208,1674,1516,1948,1817,2138,0,1705,1389,747,273,857
334,897,1107,804,1103,1048,1074,1234,1368,44,1146,817,590,319,545
