Timestep,,,,,,,,,,
30,,,,,,,,,,
57,,,,,,,,,,
87,,,,,,,,,,
116,,,,,,,,,,
146,,,,,,,,,,
175,,,,,,,,,,
205,,,,,,,,,,
235,,,,,,,,,,
264,,,,,,,,,,
294,,,,,,,,,,
323,,,,,,,,,,
353,,,,,,,,,,
383,,,,,,,,,,
410,,,,,,,,,,
440,,,,,,,,,,
469,,,,,,,,,,
499,,,,,,,,,,
528,,,,,,,,,,
558,,,,,,,,,,
588,,,,,,,,,,
617,,,,,,,,,,
647,,,,,,,,,,
676,,,,,,,,,,
706,,,,,,,,,,
736,,,,,,,,,,
764,,,,,,,,,,
794,,,,,,,,,,
823,,,,,,,,,,
