497.84,311.7,601.26,566.66,148.29
434.59,281.74,605.87,366.58,120.87
511.68,312.52,657.01,423.39,118.22
413.41,313.33,557.46,350.87,196.9
361.75,290.9,536.6,215.17,146.5
367.02,208.01,507.9,198.57,116.73
317.4,181.01,430.93,201.5,138.75
262.91,227.46,522.1,245.63,159.19
290.99,173.39,605.58,145.48,167.27
294.64,174.75,517.64,191.91,148.87
289.23,206.28,478.13,181.94,176.99
270.1,221.83,389.92,175.96,375.05
274.95,247.31,408.32,178.29,618.75
236.71,233.08,1753.93,181.71,1906.86
246.33,198.99,2347.01,212.1,1888.65
202.03,171.85,2440.22,253.37,1033.63
190.98,458.21,2158.4,248.79,532.69
194.48,452.04,3157.9,298.45,490.01
196.71,466.81,4627.53,436.77,481.04
161.72,552.59,3966.25,408.11,449.25
116.85,481.34,3392,312.69,500.23
135.7,498.3,3456.29,354.01,582.88
139.39,379.1,2864.17,359.63,547.91
121.68,218.82,2385.51,370.33,517.33
