WELL_N-0258,WELL_N-0269,WELL_N-0279,WELL_N-0288,WELL_N-0546,WELL_N-0547,WELL_N-0553A,WELL_N-0554,WELL_N-0557,WELL_N-0558,WELL_N-0565,WELL_N-0566,WELL_N-0569,WELL_N-0570,WELL_N-1100,WELL_N-1101,WELL_N-1101R,WELL_N-1103,WELL_N-1352,WELL_N-1354,WELL_N-1356,WELL_N-1358,WELL_N-1360,WELL_N-1395,WELL_N-1396,WELL_N-1410,WELL_N-1411,WELL_N-1506,WELL_N-1508,WELL_N-1512,WELL_N-1513,WELL_N-1515,WELL_N-1549
70,87,84,94,44,31,26,19,46,119,141,46,40,129,58,45,0,0,28,38,59,105,47,31,81,0,0,0,0,0,0,0,0
68,95,62,91,36,33,33,25,44,108,123,44,30,116,57,54,0,0,27,41,120,99,51,136,125,0,0,0,0,0,0,0,0
72,78,75,105,28,31,31,24,33,103,91,46,29,114,66,49,0,0,27,40,105,96,51,78,101,0,0,0,0,0,0,0,0
76,94,76,93,32,34,30,24,39,102,116,43,19,107,59,49,0,0,26,29,95,84,46,65,89,0,0,0,0,0,0,0,0
54,92,77,90,33,36,54,23,43,92,108,50,23,101,57,57,0,0,28,46,86,69,39,58,84,0,0,0,0,0,0,0,0
56,81,73,83,30,29,45,24,38,89,113,39,28,92,46,66,0,0,24,46,78,63,47,49,76,0,0,0,0,0,0,0,0
66,72,62,75,32,32,38,19,34,92,102,35,29,90,64,61,0,0,30,53,79,63,45,48,74,0,0,0,0,0,0,0,0
69,71,68,59,30,31,39,20,35,86,96,36,20,90,63,53,0,0,30,59,72,58,38,43,81,0,0,0,0,0,0,0,0
67,64,60,84,24,29,43,24,34,83,99,38,27,94,51,64,0,0,25,55,73,57,40,43,84,0,0,0,0,0,0,0,0
69,72,63,84,29,28,33,33,33,80,88,39,27,87,44,48,0,0,24,36,69,56,36,43,72,0,0,0,0,0,0,0,0
79,77,65,89,28,31,39,24,38,85,101,28,27,91,54,50,0,0,25,43,72,59,55,42,70,0,0,0,0,0,0,0,0
78,63,60,90,26,36,31,20,35,90,104,41,27,90,42,47,0,0,21,51,75,59,49,38,69,0,0,0,0,0,0,0,0
58,73,61,85,38,29,27,26,42,110,103,51,25,89,49,47,0,0,20,51,95,74,44,56,68,0,0,0,0,0,0,0,0
135,103,66,84,29,30,40,30,61,138,65,50,24,88,38,42,0,0,21,46,82,76,38,28,61,0,0,0,0,0,0,0,0
141,111,64,79,29,40,37,25,29,138,65,35,23,85,52,42,0,0,22,45,64,98,37,94,62,0,0,0,0,0,0,0,0
167,86,64,82,22,36,28,18,20,71,85,32,24,80,40,42,0,0,20,35,61,40,35,36,64,0,0,0,0,0,0,0,0
