0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
10500,10500,10500,10500,10500,10500,10500,10500,10500
10500,10500,10500,10500,10500,10500,10500,10500,10500
10500,10500,10500,10500,10500,10500,10500,10500,10500
10500,10500,10500,10500,10500,10500,10500,10500,10500
10500,10500,10500,10500,10500,10500,10500,10500,10500
10500,10500,10500,10500,10500,10500,10500,10500,10500
10500,10500,10500,10500,10500,10500,10500,10500,10500
10500,10500,10500,10500,10500,10500,10500,10500,10500
10500,10500,10500,10500,10500,10500,10500,10500,10500
10500,10500,10500,10500,10500,10500,10500,10500,10500
10500,10500,10500,10500,10500,10500,10500,10500,10500
10500,10500,10500,10500,10500,10500,10500,10500,10500
10500,10500,10500,10500,10500,10500,10500,10500,10500
10500,10500,10500,10500,10500,10500,10500,10500,10500
0,10500,0,10500,10500,0,0,10500,0
0,5950,0,10500,1050,0,0,10500,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
