NCU-259,NCU-260,NCU-267,NCU-268,NCU-280,NCU-281,NCU-286,NCU-287,NCU-552,NCU-559,NCU-564,NCU-1353,NCU-1355,NCU-1357,NCU-1359
841,724,1194,572,0,983,904,732,781,700,984,675,620,818,859
792,693,1047,556,0,981,892,640,747,647,1087,710,595,757,920
762,646,1031,534,0,908,845,677,744,642,1090,707,559,658,885
539,657,1027,532,0,771,637,703,741,641,1082,513,561,680,732
400,647,887,541,0,756,623,637,747,617,1075,402,590,691,743
393,640,1034,520,0,767,632,644,755,600,1051,411,584,692,763
397,650,1007,507,0,764,673,650,771,629,1046,409,577,701,748
399,650,1005,498,0,749,685,654,786,648,1036,395,672,781,745
398,643,1004,504,0,765,657,650,786,654,1042,403,660,790,737
399,652,1004,497,0,765,684,647,760,638,1023,409,650,742,725
398,649,1005,500,0,773,674,643,688,632,1013,408,605,770,726
401,652,1000,536,0,767,731,637,721,641,996,404,580,790,737
402,652,990,552,0,745,629,648,878,641,1032,410,519,811,745
450,641,710,534,0,756,702,657,862,638,1037,408,599,816,746
491,639,234,570,0,736,664,708,890,660,1035,401,779,825,722
468,644,945,538,0,699,738,790,958,654,1026,402,715,823,777
482,668,1026,571,0,709,755,690,1013,674,1060,408,697,844,790
457,638,1002,543,0,683,688,659,941,683,1034,409,664,823,768
506,634,1012,501,0,676,674,658,978,747,1060,404,661,828,740
491,814,1001,516,0,688,682,656,934,723,1030,432,633,809,749
505,886,1017,525,0,708,685,659,900,703,1019,498,655,787,759
501,805,1026,488,0,699,674,665,938,696,998,543,618,817,745
539,880,1026,590,0,726,667,662,915,668,946,521,582,788,716
550,930,1021,614,0,695,663,647,905,640,980,509,591,782,721
673,913,1020,603,0,708,663,650,1092,615,988,413,591,760,677
723,899,1014,570,0,826,661,641,879,576,977,515,703,701,684
728,939,1027,503,0,831,669,640,1146,539,951,433,592,655,668
762,927,1025,528,0,783,612,586,933,539,780,432,571,613,646
844,977,1019,717,0,764,672,647,1060,588,1135,385,171,593,709
635,973,1021,711,0,738,666,626,1108,634,1233,492,688,608,711
682,923,1025,759,0,723,669,649,1202,629,1197,437,693,547,704
