Timestep,,,,,,,,,
30,,,,,,,,,
57,,,,,,,,,
87,,,,,,,,,
116,,,,,,,,,
146,,,,,,,,,
175,,,,,,,,,
205,,,,,,,,,
235,,,,,,,,,
264,,,,,,,,,
294,,,,,,,,,
323,,,,,,,,,
353,,,,,,,,,
383,,,,,,,,,
410,,,,,,,,,
440,,,,,,,,,
469,,,,,,,,,
499,,,,,,,,,
528,,,,,,,,,
558,,,,,,,,,
588,,,,,,,,,
617,,,,,,,,,
647,,,,,,,,,
676,,,,,,,,,
706,,,,,,,,,
736,,,,,,,,,
764,,,,,,,,,
794,,,,,,,,,
823,,,,,,,,,
853,,,,,,,,,
882,,,,,,,,,
912,,,,,,,,,
942,,,,,,,,,
971,,,,,,,,,
1001,,,,,,,,,
1030,,,,,,,,,
1060,,,,,,,,,
1090,,,,,,,,,
1117,,,,,,,,,
1147,,,,,,,,,
1176,,,,,,,,,
1206,,,,,,,,,
1235,,,,,,,,,
1265,,,,,,,,,
1295,,,,,,,,,
1324,,,,,,,,,
1354,,,,,,,,,
1383,,,,,,,,,
1413,,,,,,,,,
1443,,,,,,,,,
1470,,,,,,,,,
1500,,,,,,,,,
1529,,,,,,,,,
1559,,,,,,,,,
1588,,,,,,,,,
1618,,,,,,,,,
1648,,,,,,,,,
1677,,,,,,,,,
1707,,,,,,,,,
1736,,,,,,,,,
1766,,,,,,,,,
1796,,,,,,,,,
1823,,,,,,,,,
1853,,,,,,,,,
1882,,,,,,,,,
1912,,,,,,,,,
1941,,,,,,,,,
1971,,,,,,,,,
2001,,,,,,,,,
2030,,,,,,,,,
2060,,,,,,,,,
2089,,,,,,,,,
2119,,,,,,,,,
2149,,,,,,,,,
2177,,,,,,,,,
2207,,,,,,,,,
2236,,,,,,,,,
2266,,,,,,,,,
2295,,,,,,,,,
2325,,,,,,,,,
2355,,,,,,,,,
2384,,,,,,,,,
2414,,,,,,,,,
2443,,,,,,,,,
2473,,,,,,,,,
2503,,,,,,,,,
2530,,,,,,,,,
2560,,,,,,,,,
2589,,,,,,,,,
2619,,,,,,,,,
2648,,,,,,,,,
2678,,,,,,,,,
2708,,,,,,,,,
2737,,,,,,,,,
2767,,,,,,,,,
2796,,,,,,,,,
2826,,,,,,,,,
2856,,,,,,,,,
2883,,,,,,,,,
2913,,,,,,,,,
2942,,,,,,,,,
2972,,,,,,,,,
3001,,,,,,,,,
3031,,,,,,,,,
3061,,,,,,,,,
3090,,,,,,,,,
3120,,,,,,,,,
3149,,,,,,,,,
3179,,,,,,,,,
3209,,,,,,,,,
3236,,,,,,,,,
3266,,,,,,,,,
3295,,,,,,,,,
3325,,,,,,,,,
3354,,,,,,,,,
3384,,,,,,,,,
3414,,,,,,,,,
3443,,,,,,,,,
3473,,,,,,,,,
3502,,,,,,,,,
3532,,,,,,,,,
3562,,,,,,,,,
3590,,,,,,,,,
3620,,,,,,,,,
3649,,,,,,,,,
3679,,,,,,,,,
3708,,,,,,,,,
3738,,,,,,,,,
3768,,,,,,,,,
3797,,,,,,,,,
3827,,,,,,,,,
3856,,,,,,,,,
3886,,,,,,,,,
