497.84,311.7,601.26,566.66,148.29,207.86,135.24,178.34,194.89,523.27,305.06,638.65,150,468.6,280.49,160.23,252.98,238.86,612.73,142.76,142.76,368.84,219.46,463.94,498.43,1302.35,395.58,152.82,374.73,138.15,0,223.78
434.59,281.74,605.87,366.58,120.87,217.58,192.31,209.32,186.94,385.74,279.04,742.27,139.3,371.49,238.76,161.99,228.4,225.65,491.68,596.92,596.92,306.28,269.19,350.71,495.53,970.06,780.61,144.82,394.9,148.88,0,198.31
511.68,312.52,657.01,423.39,118.22,248.98,364.83,264.11,188.43,439.73,289.69,793.68,204.88,436.59,250.88,170.32,261.24,258.95,522.38,337.72,337.72,372.13,318.08,391.96,610.65,836.71,915.13,169.21,473.93,177.97,0,247.04
413.41,313.33,557.46,350.87,196.9,216.28,376.18,238.56,164.24,397.26,291.62,686.92,209.81,354.43,235.01,135.49,246.4,184.74,500.45,290.9,290.9,362.08,289.07,402.76,452.84,1009.71,1059.77,178.89,289.42,139.76,0,250.56
361.75,290.9,536.6,215.17,146.5,209.18,396.6,259.65,149.7,414.66,271.17,692.41,194.26,283.02,266.94,131.93,235.99,209.83,525.42,295.1,295.1,370.75,324.75,435.29,408.55,1196.37,737.85,181.35,288.53,131.13,0,242.17
367.02,208.01,507.9,198.57,116.73,172.25,364.89,235.28,140.05,356.76,230.2,529.8,180.15,250.91,300.56,125.21,231.28,195.93,465.39,328.32,328.32,312.7,141.15,390.91,274.69,1115.17,605.89,168.15,238.66,122.5,0,196.49
317.4,181.01,430.93,201.5,138.75,172,307.8,215.35,133.06,304.98,195.02,458.68,127.99,281.84,280.25,107.67,225.64,186.9,404.41,275.45,275.45,267.88,53.39,339.68,281.95,952.91,381.46,161.5,211.84,100.62,0,181.52
262.91,227.46,522.1,245.63,159.19,211.94,345.31,241.1,175.51,334,195.43,395.02,281.15,397.1,303.53,121.46,238.86,214.47,455.01,273.91,273.91,286.59,351.88,344.9,336.97,743.95,279.33,178.83,219.23,110.05,0,200.21
290.99,173.39,605.58,145.48,167.27,184.03,345.71,477.64,1013.43,367.44,268.53,318.64,326.47,862.82,286.99,149.12,584.65,267.44,684.14,286.82,286.82,458.4,297.49,362.48,383.23,719.47,392,341.98,237.09,107.73,0,232.46
294.64,174.75,517.64,191.91,148.87,233.71,344.57,1802.71,1740.78,347.21,378.97,278.98,135.75,1594.13,221.19,162.27,905.22,216.79,526.55,205.47,205.47,670.16,233.62,353.48,546.95,854.35,365.85,398.19,221.31,109.61,1494,260.18
